customer_id,bal_mean,bal_std,bal_min,bal_max,bal_last,bal_trend,fhs_mean,fhs_std,fhs_last,runway_mean,runway_last,vel_mean,vel_max,segment,bal_cv
NW000001,2656.0813333333335,774.470114185655,1774.04,5390.25,2743.11,9.146378729884324,42.230000000000004,14.644847619478767,32.1,26.288888888888888,27.0,1.0002222222222221,1.74,gig_worker,0.2915837344535339
NW000002,1234.9877777777776,765.947430384005,718.84,3932.46,886.72,-4.61683467094703,28.971111111111114,12.261396848815586,31.7,17.204444444444444,13.9,1.0474444444444444,1.64,sme_distressed,0.6202064863850245
NW000003,20134.167555555556,761.1178525145979,18905.98,23295.44,19228.11,-12.452020414042899,75.89555555555556,8.789893470115555,73.9,44.93777777777778,46.4,0.983,1.57,near_retiree,0.03780230051301948
NW000004,2949.2324444444444,875.5310151069364,1814.98,5800.73,2107.88,-15.097118821253668,55.02777777777778,9.997842776058322,41.3,31.735555555555553,28.2,1.0195555555555555,1.78,young_professional,0.29686741604792793
NW000005,6642.144111111111,760.022565550412,6135.55,9269.7,6226.59,-2.8622818454953385,72.50444444444445,8.102821136002412,81.2,43.29333333333334,51.7,1.0346666666666666,1.54,stable_salaried,0.1144242812014619
NW000006,7471.343666666668,808.5544633055638,6722.54,10319.9,6985.53,-9.712706342346776,73.58333333333333,9.583708672017963,69.5,44.01,39.7,0.9946666666666666,1.51,stable_salaried,0.10822075645013121
NW000007,6511.783111111111,780.450250675196,5591.65,9101.85,6960.79,11.434175741861129,73.09222222222222,8.274181147275398,74.2,43.35111111111111,40.5,1.0246666666666666,1.61,stable_salaried,0.1198520032621337
NW000008,7265.67311111111,673.6170516014196,6323.87,9649.24,6796.42,-6.571738733176974,54.13333333333333,14.836767266535803,53.3,32.992222222222225,33.6,0.9986666666666666,1.58,sme_seasonal,0.09271227060453398
NW000009,2439.2265555555555,711.9993685787524,1938.87,4974.68,2212.02,1.5340821500596722,52.662222222222226,8.446707726134282,39.7,32.41777777777778,23.3,0.9924444444444446,1.62,young_professional,0.2918955465440922
NW000010,8533.140555555556,897.6833671082663,7269.77,11424.77,7824.07,-15.73451907642922,67.48555555555555,8.418900100450967,62.0,39.845555555555556,41.6,0.9748888888888888,1.52,near_retiree,0.10519964616354806
NW000011,9233.728888888889,735.0285050047651,8514.84,12261.0,8599.25,-8.708678108408497,75.75777777777778,6.996756516259177,76.0,45.67444444444444,48.7,1.021111111111111,1.69,stable_salaried,0.07960256510121691
NW000012,1476.0797777777777,754.3050644686776,642.19,4555.35,654.19,-14.504017121455322,31.865555555555556,12.283479003501537,14.2,19.58111111111111,23.2,0.9756666666666667,1.58,sme_distressed,0.5110191710669432
NW000013,4136.389444444444,727.7938853690559,3072.94,7148.9,4434.58,6.509307074947489,47.64333333333333,13.341639220075308,44.5,27.337777777777777,22.2,1.017111111111111,1.55,sme_seasonal,0.17594907228731832
NW000014,2327.8751111111114,737.0422073262318,1480.74,5211.01,1546.72,-14.935497221879244,37.97333333333333,12.942168687553051,51.3,22.125555555555554,32.5,0.9993333333333333,1.71,stretched_salaried,0.31661587161969196
NW000015,9918.299888888889,726.8215142930986,9042.33,12955.17,10169.76,10.979192904473747,75.86555555555555,8.496386027634733,84.8,45.60666666666667,54.0,0.9764444444444444,1.58,stable_salaried,0.07328085684395673
NW000016,7517.770555555555,793.6464932967062,6718.95,10293.24,6719.68,-9.056926616454696,72.19777777777777,8.247546148894974,76.6,43.26444444444444,51.2,1.000888888888889,1.59,stable_salaried,0.10556939553179229
NW000017,3638.8006666666665,753.3689366145452,2927.1,6535.64,3815.8,9.324846688891645,47.95666666666667,12.857324673228451,59.7,28.79111111111111,42.5,1.0134444444444444,1.74,stretched_salaried,0.20703770435017285
NW000018,2370.444,731.205759806931,1604.95,5053.86,2195.95,3.2153123430876107,43.99888888888889,16.96955300202805,43.4,26.58,18.5,1.0122222222222221,1.61,freelancer,0.3084678481360163
NW000019,4389.673666666667,744.7243709738254,3525.79,7259.77,4833.1,11.294250895172233,51.19888888888889,15.426050449140432,26.3,30.31222222222222,20.6,1.0010000000000001,1.55,gig_worker,0.1696536980935391
NW000020,2330.474111111111,752.4481213665681,1635.67,5173.07,2603.93,8.37511947977116,44.644444444444446,13.538643079329006,60.8,26.4,40.3,0.9906666666666666,1.52,stretched_salaried,0.32287340922565316
NW000021,458.17055555555555,811.5812062248859,-452.18,3109.2,919.83,15.506685516730457,46.68666666666667,11.14913409244126,59.7,28.353333333333335,35.4,1.0323333333333333,1.66,young_professional,1.7713517300141683
NW000022,8675.360777777778,795.3943675291774,7990.79,11402.71,8026.36,-8.356626332469075,74.94444444444444,7.41389692843232,75.5,45.94777777777778,43.4,1.0043333333333333,1.53,stable_salaried,0.09168429854428721
NW000023,2075.948777777778,706.4359299030876,1637.96,4799.24,1745.99,-0.6649164094332688,39.14333333333333,10.613506870487608,51.3,23.761111111111113,31.5,0.9831111111111112,1.64,stretched_salaried,0.34029545307919384
NW000024,3618.1223333333332,760.7472033188265,3098.11,6133.88,3439.74,1.148503189694172,50.916666666666664,13.237266512354472,47.5,29.80111111111111,26.5,1.0032222222222222,1.6,gig_worker,0.21026022152710327
NW000025,3538.815555555556,741.742558628766,2812.92,6348.22,3867.92,7.1226530024282955,47.49111111111111,14.193538998902223,44.7,28.66333333333333,25.8,0.9931111111111111,1.49,gig_worker,0.2096019266854162
NW000026,6647.289333333334,724.4527129826112,5891.04,9199.52,5891.04,-4.028061406758086,53.09,11.275329039270659,47.2,31.668888888888887,36.4,0.9812222222222222,1.73,sme_seasonal,0.10898468182358008
NW000027,8401.08088888889,839.1303039425437,7398.46,11352.33,7398.46,-14.284548874346676,74.29222222222222,8.016292787967636,73.3,44.77666666666667,51.3,1.0063333333333335,1.63,stable_salaried,0.09988361200668375
NW000028,1811.6787777777777,827.0942249418725,521.17,4504.74,521.17,-11.618702638185793,42.73888888888889,13.527065623021796,32.7,24.457777777777775,23.5,1.0295555555555556,1.59,freelancer,0.4565346986933269
NW000029,2814.1671111111114,800.8426313033723,2002.86,5524.23,2952.79,5.916752685516726,55.86666666666667,9.856749241914272,52.5,34.16111111111111,41.0,0.9921111111111112,1.65,young_professional,0.2845753644626944
NW000030,9829.954444444445,586.7877400933364,9257.2,12171.9,9907.76,3.3604142075153125,76.72,8.5466492547165,72.7,46.09333333333333,47.2,0.9711111111111111,1.65,stable_salaried,0.05969384124917983
NW000031,3391.6669999999995,698.9012998639885,2932.66,6078.49,3136.69,1.2601108778861556,55.48222222222222,10.039904401910437,56.3,32.90888888888889,36.0,0.986,1.58,young_professional,0.20606424506414944
NW000032,9717.150444444445,723.8049156265754,8976.99,12318.43,9067.31,-9.561860311972739,77.24222222222222,7.479589873058786,74.3,46.342222222222226,36.6,0.985111111111111,1.59,stable_salaried,0.07448736332371945
